coding_standard,code,description,object_type,units,pkb_reference_range,pkb_comment
UKT6,0,Graft still functioning,,,,
UKT6,201,Hyperacute rejection,,,,
UKT6,202,Rejection while taking immunosuppressive drug(s),,,,
UKT6,203,Rejection after stopping all immunosuppressive drugs,,,,
UKT6,204,Recurrent primary renal disease,,,,
UKT6,205,Vascular or ureteric operative problems (excluding vascular thrombosis),,,,
UKT6,206,Vascular (arterial or venous) thrombosis,,,,
UKT6,207,Infection of graft,,,,
UKT6,208,Removal of functioning graft,,,,
UKT6,209,Non-viable kidney,,,,
UKT6,290,Recipient died - graft was functioning at time of death,,,,
UKT6,295,Other,,,,
UKT6,298,Other,,,,
UKT6,299,Unknown,,,,
