source_coding_standard,source_code,destination_coding_standard,destination_code,,,,
RR1+_SATELLITE,RH840,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,9RH05,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,RH8G3,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,9RH06,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,RBZ19,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,9RA911,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,RH802,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,RH88,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,RH879,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,RH875,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,RH854,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,O0J8Z,RR1+_MAIN,RH8,,,,
RR1+_SATELLITE,RJ230,RR1+_MAIN,RJ121,,,,
RR1+_SATELLITE,TAF21,RR1+_MAIN,RJ121,,,,
RR1+_SATELLITE,99RJ121,RR1+_MAIN,RJ121,,,,
RR1+_SATELLITE,98CJ06,RR1+_MAIN,RJ121,,,,
RR1+_SATELLITE,9RJ121,RR1+_MAIN,RJ121,,,,
RR1+_SATELLITE,RJ224,RR1+_MAIN,RJ121,,,,
RR1+_SATELLITE,9RPD01,RR1+_MAIN,RJ121,,,,
RR1+_SATELLITE,98A713,RR1+_MAIN,RJ121,,,,
RR1+_SATELLITE,8RJ121,RR1+_MAIN,RJ121,,,,
RR1+_SATELLITE,9RH641,RR1+_MAIN,RH641,,,,
RR1+_SATELLITE,9RTQ,RR1+_MAIN,RH641,,,,
RR1+_SATELLITE,RL109,RR1+_MAIN,RKHA4,,,,
RR1+_SATELLITE,RNLBX,RR1+_MAIN,RLGAY,,,,
RR1+_SATELLITE,RRBBW,RR1+_MAIN,RRBBV,,,,
RR1+_SATELLITE,RKM,RR1+_MAIN,RRBBV,,,,
