source_coding_standard,source_code,destination_coding_standard,destination_code
SNOMED,254701007,RR19,101
SNOMED,254651007,RR19,101
SNOMED,93655004,RR19,102
SNOMED,254837009,RR19,103
SNOMED,363402007,RR19,104
SNOMED,363349007,RR19,104
SNOMED,363509000,RR19,105
SNOMED,363418001,RR19,105
SNOMED,363353009,RR19,105
SNOMED,93870000,RR19,105
SNOMED,363510005,RR19,105
SNOMED,363351006,RR19,105
SNOMED,363358000,RR19,106
SNOMED,399326009,RR19,107
SNOMED,363518003,RR19,107
SNOMED,399068003,RR19,108
SNOMED,363449006,RR19,109
SNOMED,371973000,RR19,109
SNOMED,93143009,RR19,110
SNOMED,118600007,RR19,111
SNOMED,109989006,RR19,112
SNOMED,372062007,RR19,113
SNOMED,363475005,RR19,113
SNOMED,372063002,RR19,113
SNOMED,428061005,RR19,113
SNOMED,363229000,RR19,114
SNOMED,428281000,RR19,114
SNOMED,363495004,RR19,114
SNOMED,255056009,RR19,114
SNOMED,363346000,RR19,115
