source_coding_standard,source_code,destination_coding_standard,destination_code
SNOMED_unofficial,111411000119103,EDTA2,2359
SNOMED_unofficial,236403004,EDTA2,1267
SNOMED_unofficial,68779003,EDTA2,1116
SNOMED_unofficial,285841000119104,EDTA2,2371
SNOMED_unofficial,90791000119104,EDTA2,2337
SNOMED_unofficial,308751000119106,EDTA2,1486
SNOMED_unofficial,104931000119100,EDTA2,2359
SNOMED_unofficial,236398000,EDTA2,1251
SNOMED_unofficial,722278006,EDTA2,3419
SNOMED_unofficial,711000119100,EDTA2,2337
SNOMED_unofficial,717742006,EDTA2,1625
SNOMED_unofficial,788613004,EDTA2,1464
SNOMED_unofficial,86211000119102,EDTA2,1602
SNOMED_unofficial,1268294009,EDTA2,1396
SNOMED_unofficial,197811007,EDTA2,1602
SNOMED_unofficial,420279001,EDTA2,2337
SNOMED_unofficial,15966221000119102,EDTA2,2453
SNOMED_unofficial,399340005,EDTA2,3379
SNOMED_unofficial,236452000,EDTA2,1897
SNOMED_unofficial,421893009,EDTA2,2316
SNOMED_unofficial,232059000,EDTA2,3351
