source_coding_standard,source_code,destination_coding_standard,destination_code
UKRR_QBL,QBLK2,UKRR_QUA,QUA81
UKRR_QBL,QBLK9,UKRR_QUA,QUA86
UKRR_QBL,QBLJ2,UKRR_QUA,QUA68
UKRR_QBL,QBLH1,UKRR_QUA,QUA61
UKRR_QBL,QBLK8,UKRR_QUA,QUA85
UKRR_QBL,QBL09,UKRR_QUA,QUA09
UKRR_QBL,QBLK7,UKRR_QUA,QUA84
UKRR_QBL,QBLD6,UKRR_QUA,QUA35
UKRR_QBL,QBLH3,UKRR_QUA,QUA65
UKRR_QBL,QBLG4,UKRR_QUA,QUA41
UKRR_QBL,QBLE1,UKRR_QUA,QUA21
UKRR_QBL,QBLD8,UKRR_QUA,QUA25
UKRR_QBL,QBLDA,UKRR_QUA,QUA19
UKRR_QBL,QBL05,UKRR_QUA,QUA05
UKRR_QBL,QBLH2,UKRR_QUA,QUA64
UKRR_QBL,QBL08,UKRR_QUA,QUA07
UKRR_QBL,QBLF5,UKRR_QUA,QUA28
UKRR_QBL,QBLK6,UKRR_QUA,QUA83
UKRR_QBL,QBLE3,UKRR_QUA,QUA29
UKRR_QBL,QBLG7,UKRR_QUA,QUA45
UKRR_QBL,QBLG6,UKRR_QUA,QUA44
UKRR_QBL,QBLFB,UKRR_QUA,QUA53
UKRR_QBL,QBLK5,UKRR_QUA,QUA82
UKRR_QBL,QBLB7,UKRR_QUA,QUA23
UKRR_QBL,QBLFD,UKRR_QUA,QUA24
UKRR_QBL,QBLF7,UKRR_QUA,QUA52
UKRR_QBL,QBLA4,UKRR_QUA,QUA33
UKRR_QBL,QBLB3,UKRR_QUA,QUA30
UKRR_QBL,QBLB4,UKRR_QUA,QUA31
UKRR_QBL,QBLD1,UKRR_QUA,QUA26
UKRR_QBL,QBLA1,UKRR_QUA,QUA10
UKRR_QBL,QBLF1,UKRR_QUA,QUA22
UKRR_QBL,QBLF9,UKRR_QUA,QUA59
UKRR_QBL,QBLD3,UKRR_QUA,QUA37
UKRR_QBL,QBLB9,UKRR_QUA,QUA27
UKRR_QBL,QBLD4,UKRR_QUA,QUA36
UKRR_QBL,QBLB1,UKRR_QUA,QUA32
UKRR_QBL,QBLA9,UKRR_QUA,QUA55
UKRR_QBL,QBLA6,UKRR_QUA,QUA34
UKRR_QBL,QBLD5,UKRR_QUA,QUA38
UKRR_QBL,QBLA3,UKRR_QUA,QUA11
UKRR_QBL,QBLAC,UKRR_QUA,QUA56
UKRR_QBL,QBLK1,UKRR_QUA,QUA80
UKRR_QBL,QBLG3,UKRR_QUA,QUA40
UKRR_QBL,QBLF3,UKRR_QUA,QUA54
UKRR_QBL,QBL04,UKRR_QUA,QUA04
UKRR_QBL,QBL02,UKRR_QUA,QUA02
UKRR_QBL,QBLC3,UKRR_QUA,QUA58
UKRR_QBL,QBLC1,UKRR_QUA,QUA57
UKRR_QBL,QBLG9,UKRR_QUA,QUA50
UKRR_QBL,QBLJ1,UKRR_QUA,QUA67
UKRR_QBL,QBLG1,UKRR_QUA,QUA42
UKRR_QBL,QBL03,UKRR_QUA,QUA03
UKRR_QBL,QBLB5,UKRR_QUA,QUA39
