"CENTRE_CODE","CENTRE_NAME","COUNTRY_CODE","REGION_CODE","PAED_UNIT"
"11023",ROYAL BELFAST HOSPITAL FOR SICK CHILDREN,GB-NIR,Y,1
"2020",BELFAST CITY HOSPITAL,GB-NIR,Y,0
"24027",ANTRIM HOSPITAL,GB-NIR,Y,0
"33020",DAISY HILL HOSPITAL,GB-NIR,Y,0
"45020",Western Trust - Old,GB-NIR,Y,0
"45021",WESTERN TRUST,GB-NIR,Y,0
"48021",Dummy,GB-NIR,Y,0
"7021",ULSTER HOSPITAL,GB-NIR,Y,0
"99RCSLB",NOTTINGHAM CITY HOSPITAL - PAEDIATRIC,GB-ENG,E,1
"99RHM01",SOUTHAMPTON CHILDRENS HOSPITAL,GB-ENG,J,1
"99RQR13",ST JAMES'S UNIVERSITY HOSPITAL - PAEDIATRIC,GB-ENG,D,1
"99RTD01",GREAT NORTH CHILDRENS HOSPITAL,GB-ENG,A,1
BAPN,BAPN,BAPN,,1
RA723,BRISTOL ROYAL HOSPITAL FOR CHILDREN,GB-ENG,K,1
RAE05,ST LUKES HOSPITAL,GB-ENG,D,0
RAJ01,SOUTHEND HOSPITAL,GB-ENG,G,0
RAL01,ROYAL FREE & MIDDLESEX HOSPITAL,GB-ENG,H,0
RAQ01,LISTER HOSPITAL,GB-ENG,G,0
RAZ,ST HELIER HOSPITAL,GB-ENG,H,0
RBD01,DORSET COUNTY HOSPITAL,GB-ENG,K,0
RBL14,ARROWE PARK HOSPITAL,GB-ENG,B,0
RBS25,ROYAL LIVERPOOL CHILDRENS HOSPITAL,GB-ENG,B,1
RCB55,YORK DISTRICT GENERAL HOSPITAL,GB-ENG,D,0
RCJAT,JAMES COOK UNIVERSITY HOSPITAL,GB-ENG,A,0
RCSLB,NOTTINGHAM CITY HOSPITAL,GB-ENG,E,0
RDDH0,BASILDON HOSPITAL,GB-ENG,G,0
RDEE4,COLCHESTER GENERAL HOSPITAL,GB-ENG,G,0
REE01,SOUTHMEAD HOSPITAL,GB-ENG,K,0
REF12,ROYAL CORNWALL HOSPITAL (TRELISKE),GB-ENG,K,0
RF201,HULL ROYAL INFIRMARY,GB-ENG,D,0
RFBAK,LEICESTER GENERAL HOSPITAL,GB-ENG,E,0
